numero_ocorrencia_associado;ano_fato;mes_numerico_fato;nome_municipio_fato;codigo_municipio_fato;risp_completa_fato;rmbh_fato;ocorrencia_uf_fato;latitude_sirgas2000;longitude_sirgas2000;qtd_envolvido;envolvimento_descricao;envolvimento_codigo;condicao_fisica_descricao;valor_idade_aparente;codigo_sexo;cor_pele_descricao;escolaridade_descricao;tipo_envolvimento;grupo_tipo_envolvimento_codigo;grupo_tipo_envolvimento;faixa_etaria;numero_ocorrencia_env
38c8ad15fbe6a8ff;2012;6;BARBACENA;310560,0;RISP 13 - BARBACENA;NÃO;MG;-21,2202442228543;-43,7810443778146;1;VITIMA - OUTROS;1399;LEVES;31,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA - OUTROS;1300;VITIMA;30 a 39 anos;38c8ad15fbe6a8ff-4.0
f8d3d1435a37b2a8;2012;6;BAEPENDI;310490,0;RISP 17 - POUSO ALEGRE;NÃO;MG;-21,9613235105288;-44,8914198769925;1;VITIMA - OUTROS;1399;SEM LESOES APARENTES;30,0;M;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA - OUTROS;1300;VITIMA;30 a 39 anos;f8d3d1435a37b2a8-2.0
0642a876a41072f5;2012;4;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,920653773634;-43,939142633428;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;42,0;F;BRANCA;ALFABETIZADO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;0642a876a41072f5-2.0
04a38015be16700c;2012;6;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9186953106589;-43,9359732412152;1;VITIMA E PEDESTRE (TRANSITO);1303;GRAVES OU INCONSCIENTE;66,0;M;;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;60 a 69 anos;04a38015be16700c-2.0
1b66e97e61aead79;2012;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9192204104445;-43,9372519535124;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;25,0;F;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;1b66e97e61aead79-2.0
1b66e97e61aead79;2012;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9192204104445;-43,9372519535124;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;21,0;F;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;1b66e97e61aead79-3.0
f9f0f8452f604d26;2012;10;GOVERNADOR VALADARES;312770,0;RISP 8 - GOV. VALADARES;NÃO;MG;-18,8566784298138;-41,942974382909;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;57,0;M;PARDA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;50 a 59 anos;f9f0f8452f604d26-3.0
f9f0f8452f604d26;2012;10;GOVERNADOR VALADARES;312770,0;RISP 8 - GOV. VALADARES;NÃO;MG;-18,8566784298138;-41,942974382909;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;57,0;F;PARDA;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;50 a 59 anos;f9f0f8452f604d26-4.0
e943850033ca53a6;2012;3;BETIM;310670,0;RISP 2 - CONTAGEM;SIM;MG;-19,9617000957591;-44,2077031695225;1;VITIMA E PROPRIETARIO/FUNCIONARIO ESTABELECIM;1304;SEM LESOES APARENTES;60,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA E PROPRIETARIO/FUNCIONARIO ESTABELECIM;1300;VITIMA;60 a 69 anos;e943850033ca53a6-2.0
d43b97dd402b0e63;2012;2;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,7992199290288;-43,9541822824093;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;31,0;F;PARDA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;d43b97dd402b0e63-3.0
a530135988ea30dd;2012;8;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9137409874346;-43,9303664803009;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;65,0;F;BRANCA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;60 a 69 anos;a530135988ea30dd-2.0
235ca4c6251535f3;2012;6;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9137409874346;-43,9303664803009;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;80,0;M;BRANCA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;80 anos ou mais;235ca4c6251535f3-1.0
b3306e5ba34cb181;2012;10;AGUA BOA;310060,0;RISP 14 - CURVELO;NÃO;MG;-17,8652766263263;-42,4141235818409;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;54,0;M;PARDA;ALFABETIZADO;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;50 a 59 anos;b3306e5ba34cb181-1.0
e749c138165a54db;2012;12;CAIANA;311010,0;RISP 12 - IPATINGA;NÃO;MG;-20,6963661428076;-41,9234426253075;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;SEM LESOES APARENTES;38,0;M;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;30 a 39 anos;e749c138165a54db-3.0
e749c138165a54db;2012;12;CAIANA;311010,0;RISP 12 - IPATINGA;NÃO;MG;-20,6963661428076;-41,9234426253075;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;SEM LESOES APARENTES;8,0;M;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;0 a 11 anos;e749c138165a54db-2.0
610908cbd92f8773;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9348269895396;-44,0236369314564;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;18,0;M;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;610908cbd92f8773-3.0
610908cbd92f8773;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9348269895396;-44,0236369314564;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;18,0;M;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;610908cbd92f8773-6.0
610908cbd92f8773;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9348269895396;-44,0236369314564;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;18,0;M;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;610908cbd92f8773-4.0
610908cbd92f8773;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9348269895396;-44,0236369314564;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;19,0;M;PARDA;OUTROS - ESCOLARIDADE;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;610908cbd92f8773-5.0
508a16973915e6f0;2012;1;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9390014439015;-43,950845811737;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;44,0;M;BRANCA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;508a16973915e6f0-3.0
23348751eb343784;2012;11;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9352370304772;-43,9226233709333;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;LEVES;82,0;F;BRANCA;ESCOLARIDADE - IGNORADA;VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;80 anos ou mais;23348751eb343784-2.0
56b70cca3cb085db;2012;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,980345661514;-44,0111219453349;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;LEVES;55,0;M;ALBINA;ESCOLARIDADE - IGNORADA;VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;50 a 59 anos;56b70cca3cb085db-2.0
0321cc94dcab94b3;2012;5;LAVRAS;313820,0;RISP 6 - LAVRAS;NÃO;MG;-21,3373726811292;-44,978870659553;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;;F;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;NÃO INFORMADO;0321cc94dcab94b3-2.0
b106b7444317de42;2012;9;LAVRAS;313820,0;RISP 6 - LAVRAS;NÃO;MG;-21,3273294664189;-44,9650148126626;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;19,0;M;BRANCA;SUPERIOR INCOMPLETO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;b106b7444317de42-2.0
b2563841149f9ba0;2012;9;MONTES CLAROS;314330,0;RISP 11 - MONTES CLAROS;NÃO;MG;-16,770997640447;-43,8606062774561;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;27,0;F;PARDA;ALFABETIZADO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;b2563841149f9ba0-2.0
792852816dcdd1f4;2012;4;MATOZINHOS;314110,0;RISP 19 - SETE LAGOAS;SIM;MG;-19,5339560444107;-44,1089697088592;1;VITIMA E PASSAGEIRO (TRANSITO);1302;GRAVES OU INCONSCIENTE;31,0;M;PARDA;OUTROS - ESCOLARIDADE;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;792852816dcdd1f4-1.0
b24d8cc964e38213;2012;8;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9302425190616;-43,9585138640215;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;25,0;F;NEGRA;OUTROS - ESCOLARIDADE;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;18 a 29 anos;b24d8cc964e38213-2.0
5db4a19b1b28bfcd;2012;2;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9304816176752;-43,959640674266;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;56,0;F;;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;50 a 59 anos;5db4a19b1b28bfcd-3.0
23706f27559af38f;2012;8;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9332284339449;-43,9589559756806;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;55,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;50 a 59 anos;23706f27559af38f-1.0
a3069a5487b70e1f;2012;6;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9417838782235;-44,0018166638489;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;41,0;F;PARDA;OUTROS - ESCOLARIDADE;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;a3069a5487b70e1f-2.0
3595d66283bdd7ac;2012;12;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9449287870649;-44,0051613006866;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;64,0;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;60 a 69 anos;3595d66283bdd7ac-2.0
dd39f2a987fde658;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9459869909499;-44,0059017097996;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;NÃO INFORMADO;dd39f2a987fde658-3.0
46dacecd2d3169ad;2012;10;TEOFILO OTONI;316860,0;RISP 15 - TEÓFILO OTONI;NÃO;MG;-17,8647443813861;-41,5026905743112;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;19,0;F;BRANCA;ALFABETIZADO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;46dacecd2d3169ad-2.0
b88218a2a3af457e;2012;7;MANHUACU;313940,0;RISP 12 - IPATINGA;NÃO;MG;-20,2507837610471;-42,0277198776105;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;19,0;F;NEGRA;ALFABETIZADO;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;18 a 29 anos;b88218a2a3af457e-1.0
e526c4dbb49ac039;2012;7;JUIZ DE FORA;313670,0;RISP 4 - JUIZ DE FORA;NÃO;MG;-21,7739136466274;-43,3547452742175;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;64,0;F;BRANCA;ALFABETIZADO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;60 a 69 anos;e526c4dbb49ac039-1.0
1d6e9f163e53aa8e;2012;3;TEOFILO OTONI;316860,0;RISP 15 - TEÓFILO OTONI;NÃO;MG;-17,8646581181731;-41,4842084127584;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;27,0;F;PARDA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;1d6e9f163e53aa8e-2.0
8b3e9f5576c95b47;2012;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9793407553058;-44,011485045766;1;VITIMA E PASSAGEIRO (TRANSITO);1302;OUTROS - LESOES;64,0;F;PARDA;ALFABETIZADO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;60 a 69 anos;8b3e9f5576c95b47-1.0
34244e1646e87a01;2012;2;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8249882719215;-43,9520662319339;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;FATAL;71,0;F;BRANCA;OUTROS - ESCOLARIDADE;VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;70 a 79 anos;34244e1646e87a01-1.0
c1f5b34d6485f591;2012;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8480075248737;-43,8968542213561;1;VITIMA - OUTROS;1399;OUTROS - LESOES;35,0;M;NEGRA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA - OUTROS;1300;VITIMA;30 a 39 anos;c1f5b34d6485f591-1.0
f6d7da21e2a7238b;2012;9;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8619839882487;-43,9017163995562;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;55,0;F;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;50 a 59 anos;f6d7da21e2a7238b-1.0
5f772eeb79608fab;2012;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8617051859532;-43,90205810174;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;78,0;F;;ALFABETIZADO;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;70 a 79 anos;5f772eeb79608fab-2.0
160e7b41920af29d;2012;12;SAO PEDRO DO SUACUI;316410,0;RISP 8 - GOV. VALADARES;NÃO;MG;-18,3640101238098;-42,6410915787;1;VITIMA E PASSAGEIRO (TRANSITO);1302;FATAL;32,0;M;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;160e7b41920af29d-3.0
160e7b41920af29d;2012;12;SAO PEDRO DO SUACUI;316410,0;RISP 8 - GOV. VALADARES;NÃO;MG;-18,3640101238098;-42,6410915787;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;31,0;M;PARDA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;160e7b41920af29d-4.0
c880db95e3e88c65;2012;12;SAO PEDRO DO SUACUI;316410,0;RISP 8 - GOV. VALADARES;NÃO;MG;-18,4070309020322;-42,6726902513468;1;VITIMA - OUTROS;1399;OUTROS - LESOES;51,0;M;PARDA;ALFABETIZADO;VITIMA - OUTROS;1300;VITIMA;50 a 59 anos;c880db95e3e88c65-4.0
241df2d07ef96ca5;2012;2;CONQUISTA;311820,0;RISP 5 - UBERABA;NÃO;MG;-19,9332377816384;-47,6542441066375;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;74,0;F;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;70 a 79 anos;241df2d07ef96ca5-4.0
241df2d07ef96ca5;2012;2;CONQUISTA;311820,0;RISP 5 - UBERABA;NÃO;MG;-19,9332377816384;-47,6542441066375;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;19,0;F;BRANCA;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;241df2d07ef96ca5-6.0
241df2d07ef96ca5;2012;2;CONQUISTA;311820,0;RISP 5 - UBERABA;NÃO;MG;-19,9332377816384;-47,6542441066375;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;53,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;50 a 59 anos;241df2d07ef96ca5-3.0
241df2d07ef96ca5;2012;2;CONQUISTA;311820,0;RISP 5 - UBERABA;NÃO;MG;-19,9332377816384;-47,6542441066375;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;74,0;M;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;70 a 79 anos;241df2d07ef96ca5-5.0
330e48b88d62777e;2012;6;BARBACENA;310560,0;RISP 13 - BARBACENA;NÃO;MG;-21,2163053403983;-43,7658775357793;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;32,0;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;30 a 39 anos;330e48b88d62777e-2.0
42abe009e8871010;2012;8;BARBACENA;310560,0;RISP 13 - BARBACENA;NÃO;MG;-21,2151991300155;-43,7677460487577;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;48,0;F;NEGRA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;42abe009e8871010-2.0
0a1353f847fd77dc;2012;5;UBERLANDIA;317020,0;RISP 9 - UBERLÂNDIA;NÃO;MG;-18,8935827596622;-48,274203229378;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;49,0;F;BRANCA;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;0a1353f847fd77dc-3.0
0bbe61193150ae00;2012;11;UBERLANDIA;317020,0;RISP 9 - UBERLÂNDIA;NÃO;MG;-18,8941704314759;-48,2705507020817;1;VITIMA E PEDESTRE (TRANSITO);1303;SEM LESOES APARENTES;21,0;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;18 a 29 anos;0bbe61193150ae00-4.0
0bbe61193150ae00;2012;11;UBERLANDIA;317020,0;RISP 9 - UBERLÂNDIA;NÃO;MG;-18,8941704314759;-48,2705507020817;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;21,0;F;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;0bbe61193150ae00-3.0
0bbe61193150ae00;2012;11;UBERLANDIA;317020,0;RISP 9 - UBERLÂNDIA;NÃO;MG;-18,8941704314759;-48,2705507020817;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;69,0;F;BRANCA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;60 a 69 anos;0bbe61193150ae00-7.0
b95175dccd7d314f;2012;12;POCOS DE CALDAS;315180,0;RISP 18 - POÇOS DE CALDAS;NÃO;MG;-21,778118253772;-46,5637305759648;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;22,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;b95175dccd7d314f-2.0
b95175dccd7d314f;2012;12;POCOS DE CALDAS;315180,0;RISP 18 - POÇOS DE CALDAS;NÃO;MG;-21,778118253772;-46,5637305759648;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;18,0;F;BRANCA;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;b95175dccd7d314f-3.0
2f295ca4fe64f8f0;2012;10;POCOS DE CALDAS;315180,0;RISP 18 - POÇOS DE CALDAS;NÃO;MG;-21,7786360898886;-46,5882621808959;1;VITIMA E PASSAGEIRO (TRANSITO);1302;OUTROS - LESOES;49,0;F;BRANCA;SUPERIOR COMPLETO;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;40 a 49 anos;2f295ca4fe64f8f0-2.0
a1044e326df83b45;2012;1;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9037997386296;-43,932787974756;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;22,0;F;BRANCA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;18 a 29 anos;a1044e326df83b45-2.0
8cca27f269b17d81;2012;5;CAMANDUCAIA;311050,0;RISP 17 - POUSO ALEGRE;NÃO;MG;-22,7557649958994;-46,144863353794;1;VITIMA E PASSAGEIRO (TRANSITO);1302;FATAL;80,0;F;BRANCA;;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;80 anos ou mais;8cca27f269b17d81-2.0
34d98d269478df08;2012;9;CAMANDUCAIA;311050,0;RISP 17 - POUSO ALEGRE;NÃO;MG;-22,7557650158219;-46,1448910840272;1;VITIMA DE ACAO CRIMINAL / CIVEL;1301;LEVES;64,0;F;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA DE ACAO CRIMINAL / CIVEL;1300;VITIMA;60 a 69 anos;34d98d269478df08-2.0
