numero_ocorrencia_associado;ano_fato;mes_numerico_fato;nome_municipio_fato;codigo_municipio_fato;risp_completa_fato;rmbh_fato;ocorrencia_uf_fato;latitude_sirgas2000;longitude_sirgas2000;qtd_envolvido;envolvimento_descricao;envolvimento_codigo;condicao_fisica_descricao;valor_idade_aparente;codigo_sexo;cor_pele_descricao;escolaridade_descricao;tipo_envolvimento;grupo_tipo_envolvimento_codigo;grupo_tipo_envolvimento;faixa_etaria;numero_ocorrencia_env
b6654d30201c7339;2012;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9187961120993;-43,9355909382188;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;21,0;F;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;b6654d30201c7339-3.0
0c78a6f5a2bc4c85;2012;6;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9192846140014;-43,93589004206;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;48,0;F;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;40 a 49 anos;0c78a6f5a2bc4c85-2.0
0f1c70abeff83d04;2012;2;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9224539047878;-43,946960444886;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;55,0;M;BRANCA;ALFABETIZADO;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;50 a 59 anos;0f1c70abeff83d04-2.0
0576d9df03247796;2012;5;ITUMIRIM;313430,0;RISP 6 - LAVRAS;NÃO;MG;-21,2887740063658;-44,8349565963862;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;26,0;F;PARDA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;0576d9df03247796-3.0
65649177d120896d;2012;10;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9151809886466;-43,9797123050611;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;72,0;M;IGNORADA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;70 a 79 anos;65649177d120896d-2.0
3dbac7590daecb73;2012;11;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8914271676117;-43,9094107826594;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;32,0;M;PARDA;ENSINO MEDIO COMPLETO (2º GRAU);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;3dbac7590daecb73-3.0
f895b723e5664f6f;2012;9;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8941211392129;-43,9105991598949;1;VITIMA - OUTROS;1399;OUTROS - LESOES;24,0;M;IGNORADA;ALFABETIZADO;VITIMA - OUTROS;1300;VITIMA;18 a 29 anos;f895b723e5664f6f-2.0
2806671ad8b61965;2012;1;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8914906400511;-43,9042736989776;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;19,0;F;IGNORADA;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;2806671ad8b61965-2.0
3847e3c4c3fd04ca;2012;8;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9153408039086;-43,9736104534458;1;VITIMA E PEDESTRE (TRANSITO);1303;SEM LESOES APARENTES;48,0;M;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;40 a 49 anos;3847e3c4c3fd04ca-2.0
aac3ad60238a34d7;2012;2;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,8321753597074;-43,9310763717926;1;VITIMA E PEDESTRE (TRANSITO);1303;LEVES;70,0;F;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;70 a 79 anos;aac3ad60238a34d7-3.0
