numero_ocorrencia_associado;ano_fato;mes_numerico_fato;nome_municipio_fato;codigo_municipio_fato;risp_completa_fato;rmbh_fato;ocorrencia_uf_fato;latitude_sirgas2000;longitude_sirgas2000;qtd_envolvido;envolvimento_descricao;envolvimento_codigo;condicao_fisica_descricao;valor_idade_aparente;codigo_sexo;cor_pele_descricao;escolaridade_descricao;tipo_envolvimento;grupo_tipo_envolvimento_codigo;grupo_tipo_envolvimento;faixa_etaria;numero_ocorrencia_env
eea98967cf6ba69d;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9875076066284;-44,0081667391323;1;VITIMA E PASSAGEIRO (TRANSITO);1302;LEVES;26,0;F;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;eea98967cf6ba69d-3.0
93634de3f5bc417c;2013;3;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9210820159704;-43,9391212743758;1;VITIMA E PEDESTRE (TRANSITO);1303;SEM LESOES APARENTES;36,0;M;NEGRA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;30 a 39 anos;93634de3f5bc417c-3.0
3ab49ab06a0e988a;2013;5;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9206097143469;-43,9387409698843;1;VITIMA E PEDESTRE (TRANSITO);1303;SEM LESOES APARENTES;33,0;F;NEGRA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;30 a 39 anos;3ab49ab06a0e988a-2.0
b861b6b2fee59777;2013;6;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9204927121647;-43,9394008752066;1;VITIMA E PASSAGEIRO (TRANSITO);1302;SEM LESOES APARENTES;32,0;F;;ENSINO FUNDAMENTAL COMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;b861b6b2fee59777-3.0
05e0aa5af0d24862;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9152750912407;-43,9788264177549;1;VITIMA E PASSAGEIRO (TRANSITO);1302;OUTROS - LESOES;23,0;M;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;05e0aa5af0d24862-3.0
05e0aa5af0d24862;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9152750912407;-43,9788264177549;1;VITIMA E PASSAGEIRO (TRANSITO);1302;OUTROS - LESOES;18,0;M;IGNORADA;ENSINO FUNDAMENTAL INCOMPLETO (8 ANOS ESTUDO);VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;05e0aa5af0d24862-4.0
05e0aa5af0d24862;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9152750912407;-43,9788264177549;1;VITIMA E PASSAGEIRO (TRANSITO);1302;OUTROS - LESOES;34,0;M;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;30 a 39 anos;05e0aa5af0d24862-5.0
05e0aa5af0d24862;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9152750912407;-43,9788264177549;1;VITIMA E PASSAGEIRO (TRANSITO);1302;GRAU DA LESAO - IGNORADO;25,0;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;18 a 29 anos;05e0aa5af0d24862-6.0
05e0aa5af0d24862;2013;7;BELO HORIZONTE;310620,0;RISP 1 - BH;NÃO;MG;-19,9152750912407;-43,9788264177549;1;VITIMA E PASSAGEIRO (TRANSITO);1302;GRAU DA LESAO - IGNORADO;0,0;F;IGNORADA;ESCOLARIDADE - IGNORADA;VITIMA E PASSAGEIRO (TRANSITO);1300;VITIMA;0 a 11 anos;05e0aa5af0d24862-7.0
0a26a472413797c0;2013;9;LAVRAS;313820,0;RISP 6 - LAVRAS;NÃO;MG;-21,2615627213473;-45,0098322000901;1;VITIMA E PEDESTRE (TRANSITO);1303;GRAVES OU INCONSCIENTE;41,0;M;PARDA;ESCOLARIDADE - IGNORADA;VITIMA E PEDESTRE (TRANSITO);1300;VITIMA;40 a 49 anos;0a26a472413797c0-2.0
